file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,214,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,215,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,216,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,17
style.css,217,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,10
style.css,218,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,8
style.css,219,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,220,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,221,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,9
style.css,222,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,7
style.css,223,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,224,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,30
style.css,225,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,14
style.css,226,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,8
style.css,227,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,9
style.css,228,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,25
